iter,env_steps,elapsed_time_s,steps_per_s,computation_speed_sps,avg_return,cvar,policy_loss,value_loss,entropy,avg_loss
1,8192,6.113068103790283,1340.0799501842157,1340.0799501842157,-4247.058815915258,nan,-0.003711238554387819,1785.897089958191,1.3819408817216754,nan
2,16384,11.785642862319946,1390.1660003954073,1390.1660003954073,-4364.753827488132,-413.67960514932577,-0.0005769858616986312,1063.8742022514343,1.3677103882655501,nan
3,24576,18.08648109436035,1358.8049478382604,1358.8049478382604,-3740.73817627463,-384.7604736875464,0.0013446604571072385,537.0702428817749,1.3659744393080473,nan
4,32768,24.50652313232422,1337.1133809177056,1337.1133809177056,-3808.344705675574,-319.2382999937133,0.0014671044700662605,449.6985218524933,1.3464777283370495,nan
5,40960,30.3037850856781,1351.6463334264517,1351.6463334264517,-3406.936736831548,-299.56774772282006,0.00034147180122090504,448.80328273773193,1.3348700925707817,nan
6,49152,36.3314733505249,1352.8765961617648,1352.8765961617648,-3218.931362078575,-349.30173398123617,0.001197357676574029,591.8722832202911,1.3446625918149948,nan
7,57344,41.98970413208008,1365.6681128217158,1365.6681128217158,-3974.8715632103967,-372.665256242072,0.0014760580233996734,559.3069071769714,1.3566584214568138,nan
8,65536,47.84303045272827,1369.8128939543958,1369.8128939543958,-3634.5198193575316,-377.1101562256244,0.0008417000790359452,610.2151522636414,1.3560524564236403,nan
9,73728,53.829811573028564,1369.6499736020148,1369.6499736020148,-3515.5970939134486,-384.8393737228553,9.72153793554753e-06,536.419088602066,1.3437851080670953,nan
10,81920,59.7443790435791,1371.1750178246127,1371.1750178246127,-3616.236230220224,-332.10999101312376,-0.003624632670835126,447.245126247406,1.3277020612731576,nan
11,90112,65.75905561447144,1370.3359812267327,1370.3359812267327,-3113.486946144213,-312.69473809734683,-0.006618437357246876,403.2601639032364,1.3555833650752902,nan
12,98304,71.65938329696655,1371.823137140525,1371.823137140525,-2779.3452587125917,-258.4713319803928,-0.0006993990682531148,318.9602304697037,1.3564261393621564,nan
13,106496,77.83124995231628,1368.2935847136634,1368.2935847136634,-2847.6211579309193,-223.5859030103634,-0.006643672091740882,248.41625106334686,1.3563951756805182,nan
14,114688,85.26964116096497,1345.0039010191388,1345.0039010191388,-2495.425774572156,-222.22066209643884,-0.006618387033086037,202.14545154571533,1.3579585421830416,nan
15,122880,92.35855889320374,1330.4668400260434,1330.4668400260434,-1957.1539732684475,-214.47265816990296,-0.009451341502426658,144.52372366189957,1.3259605625644326,nan
16,131072,98.47941732406616,1330.958321663109,1330.958321663109,-1676.8952614664843,-188.23779788662367,-0.0069311293482314795,188.42325174808502,1.291028211824596,nan
17,139264,105.38236117362976,1321.5114792365137,1321.5114792365137,-1479.9260024925165,-227.99509646602775,-0.0028951437197974883,175.9921973347664,1.2605671705678105,nan
18,147456,112.29461908340454,1313.1172375274728,1313.1172375274728,-1565.4020758628817,-311.1472856072869,-0.004318818671890767,238.92782485485077,1.2466903198510408,nan
19,155648,118.91104054450989,1308.9448993740746,1308.9448993740746,-1000.6233554842734,-329.0976477602796,-0.004173616525804391,166.6170068383217,1.2488389071077108,nan
20,163840,127.0623369216919,1289.4458261142643,1289.4458261142643,-576.342269310283,-218.9531130613705,-0.005144120896147797,171.94750726222992,1.2327849874272943,nan
21,172032,133.99226999282837,1283.8949590838906,1283.8949590838906,-989.7005235628076,-291.5983715608123,0.00029499135780497454,287.60887598991394,1.1927146315574646,nan
22,180224,141.64953756332397,1272.323250045426,1272.323250045426,-666.774700287963,-178.50268301094192,0.0015939432159939315,113.90465760231018,1.2349647674709558,nan
23,188416,148.19077849388123,1271.442136379489,1271.442136379489,-529.721045980839,-145.56389419571136,-0.0009332780391559936,111.90158420801163,1.2158511504530907,nan
24,196608,155.6678454875946,1262.9968596544106,1262.9968596544106,-553.2058265812905,-112.9983014319828,-0.0053135536654735915,107.02782797813416,1.2211784617975354,nan
25,204800,162.66501379013062,1259.0291865971355,1259.0291865971355,-501.33480072166407,-117.52093601707732,-0.004657162804505788,139.3840827345848,1.2060955790802836,nan
26,212992,169.5266034603119,1256.3927764285318,1256.3927764285318,-390.8934750441821,-118.65641775108334,-0.00046185720202629454,148.42951315641403,1.1743431370705366,nan
27,221184,176.15616726875305,1255.6131495671686,1255.6131495671686,-452.1638149212519,-95.57022703399605,-0.00865580778918229,80.59949141740799,1.1561604784801602,nan
28,229376,183.59494543075562,1249.359014006794,1249.359014006794,-601.1387690928592,-157.9489235278587,0.002893949709687149,202.3360288143158,1.1540975514799356,nan
29,237568,192.3151412010193,1235.3057513640058,1235.3057513640058,-455.83635370196885,-236.76604415031443,0.009186887997202575,221.71601712703705,1.1706933258101344,nan
