iteration,env_steps,elapsed_time_s,speed_steps_per_s,avg_return,cvar,policy_loss,value_loss,entropy
18,147456,111.0363359451294,1327.9977112435342,-1553.9379589855946,-200.96918210416754,-0.0038438411174865905,182.1078696846962,1.2693184996023774
19,155648,117.97019934654236,1319.3840551441092,-1140.7293399720702,-210.48902844078134,-0.0042317921652283985,177.81764149665833,1.235744409263134
20,163840,125.05133056640625,1310.1819809345868,-698.6132424579228,-163.79574745125592,-0.003984327806392685,132.5049975514412,1.2011296702548862
21,172032,131.90601563453674,1304.201322225043,-789.5648075482088,-166.44816324875183,-0.0016615273780189455,188.59143728017807,1.1567026963457465
22,180224,139.19432735443115,1294.7654076526753,-582.0058002253322,-202.54936307992,-0.0010755248440545984,133.7487587928772,1.130687691271305
23,188416,149.05218410491943,1264.094190443878,-331.6064616664715,-223.0648170374156,-0.0004013675825262908,168.02926367521286,1.1987930722534657
24,196608,156.90493965148926,1253.038944705613,-312.6454639262844,-223.0648170374156,-0.003176086642270093,131.72439390420914,1.1079170405864716
25,204800,165.33861184120178,1238.6701310683472,-236.79418206498693,-147.10779680357308,-0.0011869030458910856,134.70341360569,1.1051532244309783
26,212992,177.92524909973145,1197.0869849990363,-152.4925764308603,-103.10871544180107,-0.005120845133205876,96.57411676645279,1.1895231725648046
27,221184,190.04425239562988,1163.8552453538248,-118.53019838609625,-98.99011295116739,-0.0018650462661753409,107.37770694494247,1.1728665754199028
28,229376,198.5913586616516,1155.0150094435753,-67.88484706729653,-91.79807177793023,-0.00049354656948708,117.49765086174011,1.1118795666843653
29,237568,206.60085344314575,1149.8887639657116,-89.1895867529075,-79.902585937197,-0.005757559458288597,104.5942862033844,1.0788798294961452
30,245760,217.36962270736694,1130.6087618823053,-39.911443679150324,-63.49742430524062,-0.0036376536882016808,105.87606006860733,1.1143478779122233
31,253952,230.08925437927246,1103.71082163356,11.155816250144568,-96.54605262429034,-0.0006486293696070788,97.56671702861786,1.110080591402948
32,262144,243.0461664199829,1078.5769792682765,-100.60473082354548,-113.75403464462089,-0.004843870636250358,90.40793055295944,1.1228477153927088
33,270336,252.3735089302063,1071.1742335633223,-63.822329760343,-101.14026032601407,-0.0028127104706072714,104.2901377081871,1.067398188635707
34,278528,261.72433948516846,1064.2036600336278,37.67661260491843,-95.97471131202067,-0.005916195736062946,83.48992317914963,1.0608680117875338
35,286720,274.09309482574463,1046.0679433835535,-103.48633571263267,-101.14026032601407,-0.0018600825969770085,99.6807844042778,1.1219264473766088
36,294912,289.97123527526855,1017.0388097979484,-30.544026509648052,-114.43636800323806,-0.000848994699481409,96.89098197221756,1.1301735201850533
37,303104,303.1349952220917,999.8977510924828,-90.83926713709954,-113.9247435543739,-0.0036909739319526125,93.7508475780487,1.0984484031796455
38,311296,314.85432147979736,988.698514719209,-175.68660010509768,-115.33614988252562,0.0004081448969373014,126.27792459726334,1.0981168309226632
39,319488,327.70507192611694,974.9254050972713,24.043694834527834,-115.33614988252562,-0.0029019055036769714,108.40512800216675,1.1407428281381726
40,327680,340.6228537559509,962.0023917560617,41.60022670997375,-115.09870851618504,-0.00047654446098022163,91.09274262189865,1.1168801188468933
41,335872,353.5107989311218,950.1039318050406,64.46321500589367,-115.09870851618504,-0.0023977435412234627,96.54609149694443,1.0990926763042808
42,344064,366.2299814224243,939.4752408409262,-182.6635404857228,-115.09870851618504,-0.0029935223137727007,82.02575027942657,1.0471477997489274
43,352256,381.3978102207184,923.5920882611944,12.634048379123275,-115.09870851618504,-0.0052576832749764435,89.88634976744652,1.1421096129342914
44,360448,394.88603711128235,912.7899346271962,-15.656848717864392,-115.09870851618504,-0.0005662046023644507,82.02771911025047,1.0399002842605114
45,368640,406.0742151737213,907.8143507395398,17.493852584979237,-86.85339285260444,-0.0029482637546607293,78.79558432102203,1.015653658658266
46,376832,417.68780875205994,902.185776323886,124.24760501116347,-84.6349654680926,-0.0005070713013992645,85.0992643237114,1.0731310183182359
47,385024,430.5443034172058,894.2726612431898,65.36878106684041,-84.6349654680926,-0.001556576988150482,64.27016988396645,1.0866824761033058
48,393216,442.8620352745056,887.8972878229836,73.85762028933742,-86.85339285260444,-0.0007237739155243617,97.30188864469528,1.027588326483965
49,401408,457.41947174072266,877.5489999855724,117.41616529092273,-86.85339285260444,-0.0027293241255392786,69.59470349550247,1.0222001885995269
50,409600,469.53942251205444,872.3442172515012,190.28338654060326,-84.6349654680926,-0.0005575473560384125,45.432668790221214,1.1060898695141077
51,417792,482.40892338752747,866.0536315668033,187.43065870796025,-84.6349654680926,-4.584348062053323e-05,75.47649851441383,1.052094442769885
52,425984,496.0028078556061,858.8338478196889,177.33143602678877,-84.6349654680926,-0.0009725297422846779,69.91353510320187,0.9925059052184224
53,434176,507.8033092021942,855.0082130857527,163.70123562459796,-84.6349654680926,-0.0010580219968687743,57.89990498125553,1.0440995264798403
54,442368,521.5125381946564,848.2403923237692,160.19778728771897,-76.72252366642527,-0.0015776474137965124,100.96471840143204,1.0490610422566533
55,450560,536.3294298648834,840.0806946460291,17.51478794896497,-84.22396991607643,0.0006812563769926783,112.7532684803009,1.0085225077345967
56,458752,550.7798526287079,832.913545785151,177.14035895845416,-84.22396991607643,0.00012478702046792023,57.5367174744606,1.0627435464411974
57,466944,566.0964119434357,824.8488952561265,145.85364639213526,-84.22396991607643,-0.001061530812876299,42.85498298704624,1.0642868345603347
58,475136,579.7041888237,819.6180209843174,188.6590403257897,-84.22396991607643,-0.0009088998667721171,42.36053079366684,1.1534774089232087
59,483328,592.7602295875549,815.3853377381638,203.86997023582208,-77.60015162160798,0.0006330282340059057,87.73533716797829,1.089019676670432
60,491520,611.3788423538208,803.9532380735293,166.92391905622327,-77.60015162160798,-0.0011767701216740534,38.632703468203545,1.034513891208917
61,499712,624.5905075073242,800.0633919242523,30.536015285163998,-77.47956754047465,0.00015830456686671823,91.45751383900642,1.0108005260117352
62,507904,640.4566178321838,793.0341975685291,256.5952638959965,-77.47956754047465,-0.002617089543491602,72.80742007493973,0.9614443937316537
63,516096,656.3348572254181,786.3303225760976,289.74029449172895,-77.47956754047465,-0.0010719302372308448,74.00331512093544,1.0277033224701881
64,524288,673.0402178764343,778.9846521419256,229.6831322156052,-77.47956754047465,-0.0005458389678096864,40.34571401774883,1.0546891437843442
