iter,timesteps,episodes,elapsed_s,steps_per_s,avg_return,policy_loss,value_loss,entropy
86,704512,2562,818.66,860.56,94.04,-0.0012,56.2724,1.0139
87,712704,2563,831.12,857.53,172.24,-0.0036,33.5337,1.0513
88,720896,2567,842.81,855.35,210.50,-0.0030,48.0567,1.0116
89,729088,2568,854.17,853.56,131.58,0.0003,31.4326,1.0630
90,737280,2572,865.21,852.14,71.56,0.0033,65.5808,1.0120
91,745472,2573,877.16,849.87,89.58,0.0010,36.2652,1.0373
92,753664,2574,888.90,847.87,39.92,0.0011,30.4705,1.0131
93,761856,2575,899.44,847.04,-9.10,-0.0010,44.6058,1.0656
94,770048,2578,910.47,845.77,68.57,-0.0009,49.3655,1.0481
95,778240,2578,921.55,844.49,nan,-0.0007,27.7298,1.0444
96,786432,2580,932.10,843.72,28.12,0.0011,42.5681,1.0081
97,794624,2583,943.34,842.35,39.54,0.0015,46.2711,1.0329
98,802816,2595,952.76,842.62,55.15,0.0076,124.4386,0.8426
99,811008,2597,963.64,841.61,336.03,-0.0026,48.5953,0.9754
100,819200,2598,974.20,840.89,186.80,-0.0005,37.4502,0.9780
101,827392,2602,984.73,840.22,163.49,0.0005,63.9243,0.9503
102,835584,2606,995.72,839.18,128.08,-0.0019,51.5579,0.9785
103,843776,2607,1006.19,838.58,157.76,0.0004,28.2841,1.0245
104,851968,2610,1016.23,838.36,203.50,0.0013,47.2944,0.9863
105,860160,2611,1027.41,837.21,-2.21,0.0009,31.0866,1.0232
106,868352,2615,1037.30,837.13,107.22,-0.0009,54.8942,1.0000
107,876544,2616,1047.88,836.49,241.85,0.0009,33.1660,0.9470
108,884736,2621,1057.98,836.25,110.90,0.0003,56.1406,0.9034
109,892928,2625,1067.94,836.12,152.92,-0.0008,73.1159,0.9104
110,901120,2628,1078.59,835.46,200.88,-0.0001,37.9071,0.9539
111,909312,2633,1088.78,835.17,110.08,0.0015,60.3527,0.9191
112,917504,2635,1099.30,834.63,9.65,0.0024,47.4050,0.9417
113,925696,2638,1109.21,834.55,96.30,0.0005,39.2548,0.9447
114,933888,2640,1119.64,834.09,169.73,0.0005,41.2105,0.9508
115,942080,2644,1129.31,834.21,103.32,0.0014,56.6095,0.9121
116,950272,2646,1139.87,833.67,194.81,0.0011,49.9553,0.9161
117,958464,2653,1149.97,833.47,115.88,0.0008,81.0034,0.8514
118,966656,2658,1159.63,833.59,182.47,-0.0004,69.0314,0.8617
119,974848,2661,1169.85,833.31,190.79,-0.0014,56.4646,0.8874
120,983040,2668,1179.73,833.28,116.19,0.0021,74.0006,0.8848
121,991232,2675,1189.28,833.47,66.11,0.0109,88.8181,0.9205
122,999424,2682,1198.91,833.61,79.35,-0.0004,68.6261,0.8910
123,1007616,2686,1209.43,833.13,169.32,-0.0015,72.2484,0.8727
124,1015808,2687,1220.13,832.54,317.85,0.0010,39.4192,0.9576
125,1024000,2693,1230.81,831.97,249.06,-0.0006,71.9391,0.8417
