iter,env_steps,elapsed_time_s,steps_per_s,computation_speed_sps,avg_return,cvar,policy_loss,value_loss,entropy,avg_loss
1,8192,6.671264410018921,1227.9531280003284,1227.9531280003284,-182.44633467627585,nan,0.00021282223315211013,1658.6026873588562,1.3810231490060687,nan
2,16384,13.350664138793945,1227.2048663400858,1227.2048663400858,-194.36625178458164,nan,0.0009115229913732037,1065.796945810318,1.3750204918906093,nan
3,24576,19.825915336608887,1239.589677588303,1239.589677588303,-189.68757421876114,nan,0.0004611397143889917,478.48552560806274,1.3637069491669536,nan
4,32768,26.259835243225098,1247.8372273281484,1247.8372273281484,-184.2203715565573,nan,0.000566443704883568,482.0737316608429,1.3642908660694957,nan
5,40960,33.084972620010376,1238.024297932369,1238.024297932369,-186.70608651185293,nan,0.006326762195385527,630.8683395385742,1.356765472330153,nan
6,49152,39.83757424354553,1233.8100633214028,1233.8100633214028,-202.00967831880877,nan,0.0010226192898699082,575.9192228317261,1.3639584640040994,nan
7,57344,46.44040369987488,1234.7868543648017,1234.7868543648017,-215.44408077937447,nan,0.0014078956955927424,840.7932496070862,1.372485313564539,nan
8,65536,53.041640520095825,1235.5575611423717,1235.5575611423717,-199.34508701133757,nan,-0.0012301337519602384,694.3228373527527,1.3665341613814235,nan
9,73728,59.31917071342468,1242.9034174497388,1242.9034174497388,-228.42268479241844,nan,0.00319984551606467,707.0198953151703,1.3622586959972978,nan
10,81920,65.74317383766174,1246.0609249301435,1246.0609249301435,-181.2865544360076,nan,-0.000373500321074971,493.3536012172699,1.3515520710498095,nan
11,90112,72.1354193687439,1249.2060181886918,1249.2060181886918,-170.53061035644595,nan,-0.004633225042198319,407.73354387283325,1.33053804282099,nan
12,98304,78.1725001335144,1257.5266216649343,1257.5266216649343,-136.19646414117994,nan,-0.0007081363510224037,398.78653478622437,1.3523263912647963,nan
13,106496,84.42156600952148,1261.4786130357834,1261.4786130357834,-148.36655099387946,nan,-0.0011075522634200752,487.7588813304901,1.3481889329850674,nan
14,114688,90.90517926216125,1261.6222852303224,1261.6222852303224,-177.37678822472287,nan,-0.004182377342658583,486.8154592514038,1.3297158451750875,nan
15,122880,97.31955361366272,1262.6445091169103,1262.6445091169103,-169.16426398334468,nan,-0.002521819646062795,481.2802493572235,1.3000729838386178,nan
16,131072,104.12967896461487,1258.7381551857143,1258.7381551857143,-149.34140166073297,nan,-0.002452325505146291,366.5511258840561,1.2987047266215086,nan
17,139264,110.88778257369995,1255.9003054050631,1255.9003054050631,-130.55572831980953,nan,-0.0006715169729432091,401.39693093299866,1.2769010812044144,nan
18,147456,117.61972904205322,1253.6672308374325,1253.6672308374325,-113.88306621646593,nan,-0.003764867506106384,271.27521646022797,1.2661313749849796,nan
19,155648,124.55263018608093,1249.6564686547588,1249.6564686547588,-92.5183642851145,nan,-0.0032910144327615853,283.14253306388855,1.2615556111559272,nan
20,163840,131.59800124168396,1245.003711713695,1245.003711713695,-107.73231301721857,nan,0.0026135927582799923,244.97899878025055,1.2492250241339207,nan
21,172032,138.55179500579834,1241.6439642142532,1241.6439642142532,-120.04545134050932,nan,0.0020054380329384003,327.18541753292084,1.2650326564908028,nan
22,180224,145.25357246398926,1240.754337003866,1240.754337003866,-85.95771041191459,nan,0.00014595757238566875,238.14016687870026,1.2323599206283689,nan
23,188416,152.49233508110046,1235.5768563698243,1235.5768563698243,-97.07976543700997,nan,-0.004179046816716436,251.52720391750336,1.2409175094217062,nan
24,196608,159.7175989151001,1230.9726751183473,1230.9726751183473,-59.04527618915121,nan,-0.001777477369614644,125.69309514760971,1.233524632640183,nan
25,204800,166.70332145690918,1228.52981098483,1228.52981098483,-53.4512463552547,nan,-0.006386154571373481,87.95436751842499,1.2293688580393791,nan
26,212992,173.40085458755493,1228.3215126396876,1228.3215126396876,-38.990771957427526,nan,-0.0052387943942449056,106.86947309970856,1.1853071209043264,nan
27,221184,182.35070538520813,1212.95938797033,1212.95938797033,-26.13659933212039,nan,0.002535463414460537,105.06525135040283,1.1829832019284368,nan
28,229376,192.80797576904297,1189.6603295849152,1189.6603295849152,-492.6598822998148,nan,0.017252805169846397,1027.9089369773865,1.0283514675684273,nan
29,237568,201.79292011260986,1177.2861003618261,1177.2861003618261,-555.3151833525616,nan,0.021182548876822693,1344.7278397083282,0.9173197369091213,nan
30,245760,211.54205703735352,1161.7547992199225,1161.7547992199225,-744.55216815659,nan,0.0004682923827203922,1987.1818714141846,0.9626540732569993,nan
31,253952,221.96258187294006,1144.1207696231065,1144.1207696231065,-697.3737056683776,nan,-0.002645338638103567,1384.8911271095276,0.9764013946987689,nan
