episode,return,length,risk_threshold
58,-54.60011683303424,21,-177.4583166648527
59,-58.16028162933422,21,-177.4579520340966
60,-102.42617078813655,21,-177.45758740334045
61,-54.400638702129505,21,-177.45722277258434
62,-54.25151635890556,21,-177.4231441226572
63,-106.60947893495296,21,-177.38906547273004
64,-61.72262577917607,21,-177.3549868228029
65,-59.55993215118185,21,-177.32090817287576
66,-86.84639534286124,21,-177.2868295229486
67,-82.80824875366103,21,-177.25275087302145
68,-120.95530589826197,21,-177.2186722230943
69,-59.49103985808111,21,-177.18459357316718
70,-86.49660030369567,21,-177.15051492324002
71,-54.25616042935376,21,-177.11643627331287
72,-54.187395813369726,21,-177.08235762338572
73,-54.40901634556788,21,-177.04827897345857
74,-54.11836649034976,21,-177.01420032353144
75,-55.31643121737802,21,-176.9801216736043
76,-54.18979763867922,21,-176.94604302367713
77,-54.18500824791403,21,-176.91196437374998
78,-54.25428348470886,21,-176.87788572382283
79,-67.71049936990806,21,-176.8438070738957
80,-59.61572010379937,21,-176.80972842396855
81,-86.23934067911077,21,-176.7756497740414
82,-105.56335172413792,21,-176.72304766166474
83,-105.84161379310343,21,-176.67044554928808
84,-67.6464989783032,21,-176.6178434369114
85,-54.41608738414375,21,-176.56524132453472
86,-59.44219105276963,21,-176.51263921215806
87,-54.33251266064969,21,-176.4600370997814
88,-86.09197978650104,21,-176.40743498740474
89,-59.49102817602797,21,-176.35483287502805
90,-54.20948678406472,21,-176.3022307626514
91,-105.34691685746895,21,-176.24962865027473
92,-59.44112521429198,21,-176.19702653789807
93,-117.61600862068966,21,-176.1444244255214
94,-54.20454106924534,21,-176.09182231314472
95,-67.87110761160994,21,-176.03922020076806
96,-86.96288085169678,21,-175.9866180883914
97,-54.275468728493735,21,-175.93401597601473
98,-54.246320300604054,21,-175.88141386363807
99,-54.24399590358817,21,-175.82881175126138
100,-53.92401795142702,21,-175.77620963888472
101,-54.33215886873911,21,-175.72360752650806
102,-54.41616821721453,21,-175.72360752650806
103,-54.40859927422496,21,-175.72360752650806
104,-54.24653623057163,21,-175.72360752650806
105,-54.20687238679066,21,-175.72360752650806
106,-54.28058276165056,21,-175.72360752650806
107,-54.39898387347071,21,-175.5796198106869
108,-54.46300161543564,21,-175.5796198106869
109,-54.46299222921869,21,-175.5796198106869
110,-54.280608370958625,21,-175.5796198106869
111,-54.11849467396697,21,-175.5796198106869
112,-54.34968950873781,21,-174.90352696076152
113,-54.187332007591145,21,-168.973925879057
114,-54.32305667977216,21,-159.86759465100442
115,-54.2804465788075,21,-156.83457919829993
116,-54.061802592632205,21,-151.90385014474498
117,-54.972191489313005,21,-145.66950337443282
118,-54.16189472397597,21,-136.8993457923438
119,-54.312918202026175,21,-133.35498448875435
120,-54.17975463638202,21,-128.7632394195388
121,-54.18838902086463,21,-125.6445893142328
122,-54.13069821356214,21,-125.38958056817032
123,-54.548425874960124,21,-122.81411105233242
124,-54.40338079703914,21,-122.81411105233242
125,-54.334577516515566,21,-122.53436002810426
126,-119.48421379310345,21,-121.63986724137932
127,-53.790490846181186,21,-121.63986724137932
128,-53.92441327276971,21,-121.36354328137213
129,-54.33441342696473,21,-121.36354328137213
130,-54.26834720138481,21,-121.36354328137213
131,-54.31503645430747,21,-121.36354328137213
132,-53.66987753869052,21,-120.98618677570701
133,-53.55320550912298,21,-120.98618677570701
134,-54.31287859408138,21,-120.95530589826197
135,-54.20321715342221,21,-120.95530589826197
136,-71.13920989419046,21,-120.95530589826197
