iter,env_steps,elapsed_time_s,steps_per_s,computation_speed_sps,avg_return,cvar,policy_loss,value_loss,entropy,avg_loss
1,8192,5.933751106262207,1380.576949268152,1380.576949268152,-3776.865532474386,nan,-0.0002927167370216921,1588.1201996803284,1.3839818583801389,nan
2,16384,11.029586553573608,1485.4591258175087,1485.4591258175087,-4470.541997817612,-404.5272601752568,-0.0015724915101600345,1031.2242250442505,1.3750035455450416,nan
3,24576,16.098153352737427,1526.6347301767348,1526.6347301767348,-4609.938588119803,-420.3352141195737,0.00032339640529244207,672.5472180843353,1.3733917931094766,nan
4,32768,21.21202802658081,1544.783929143333,1544.783929143333,-4191.034081464288,-458.79925577557765,0.00042060863779624924,516.4213671684265,1.371641687117517,nan
5,40960,26.423672914505005,1550.1251522650898,1550.1251522650898,-4022.918135212399,-429.88711912435343,0.001694336358923465,648.5276205539703,1.369330053217709,nan
6,49152,31.55032706260681,1557.8919325452746,1557.8919325452746,-3988.639120087715,-389.6472249349435,0.0020010775406262837,584.0420019626617,1.3724366556853056,nan
7,57344,36.73946213722229,1560.8285114741075,1560.8285114741075,-3957.1948761232125,-388.35130587432013,-0.001052833926223684,566.2995257377625,1.3703849129378796,nan
8,65536,41.8263943195343,1566.8575086663047,1566.8575086663047,-3167.7561308828717,-333.37178747523325,-0.007494833727832884,496.620747089386,1.3575889114290476,nan
9,73728,46.99126601219177,1568.972412466424,1568.972412466424,-2545.305402127736,-300.84142167492695,-0.0003209322276234161,374.24450147151947,1.357183899730444,nan
10,81920,52.19874382019043,1569.386425891602,1569.386425891602,-2301.065853154009,-236.847835082681,-6.926369678694755e-05,269.6215020418167,1.3305710470303893,nan
11,90112,57.39638900756836,1569.9942375837916,1569.9942375837916,-2376.3097116135887,-241.8604463727931,-0.004988892382243648,266.9655611515045,1.3285534335300326,nan
12,98304,62.77392053604126,1566.0006442254848,1566.0006442254848,-2414.134787704694,-298.4223705766855,-0.0028656408212555107,318.8615734577179,1.3033561194315553,nan
13,106496,68.09799313545227,1563.8640009283545,1563.8640009283545,-1741.4007712639957,-275.39690708856534,-0.0022658518901153,246.85238814353943,1.3056249441578984,nan
14,114688,73.66165208816528,1556.9566626435485,1556.9566626435485,-1836.1758982855856,-219.7588855523083,-0.001977320462174248,195.71829104423523,1.2736875675618649,nan
15,122880,79.18802833557129,1551.7497099344025,1551.7497099344025,-1576.8927565339936,-230.19947688869058,0.004069785172760021,159.03681910037994,1.2698049815371633,nan
16,131072,84.91985368728638,1543.4788722395456,1543.4788722395456,-1865.3400226460085,-297.55796074359165,0.002048727146757301,341.40946555137634,1.2553717168048024,nan
17,139264,90.88199996948242,1532.3606439863113,1532.3606439863113,-1402.8838199133168,-367.7707775659801,-0.001872020453447476,243.48658394813538,1.2655400363728404,nan
18,147456,96.64252090454102,1525.7880135975568,1525.7880135975568,-1296.727092779869,-296.82559136563566,-0.0038161373959155753,269.00214540958405,1.2377560138702393,nan
19,155648,102.77913641929626,1514.3929538872626,1514.3929538872626,-931.4843056082366,-267.7698038201293,-0.0014942606139811687,143.98081678152084,1.2166666258126497,nan
20,163840,109.25164532661438,1499.6570487354259,1499.6570487354259,-1149.0511934063284,-266.9615490041473,-0.0017350693633488845,206.41378444433212,1.2408824330195785,nan
21,172032,115.32381582260132,1491.7300366182033,1491.7300366182033,-1112.6565195506225,-272.83407862526593,-0.002313859324203804,157.67984116077423,1.2310727816075087,nan
22,180224,120.85292959213257,1491.2671178782284,1491.2671178782284,-781.6926319543326,-191.00142831244935,-0.0009604592996765859,186.9593854546547,1.2000469118356705,nan
23,188416,127.82889342308044,1473.9703595523742,1473.9703595523742,-468.8440578985239,-178.86956192296938,-0.002137982846761588,159.96240204572678,1.1951403245329857,nan
24,196608,133.77513980865479,1469.6901104436756,1469.6901104436756,-808.46011840608,-185.7248753780245,-0.008101517254544888,132.5254647731781,1.1724502127617598,nan
25,204800,139.8440408706665,1464.4885740208797,1464.4885740208797,-342.14547971259213,-187.64506474453273,-0.0006164749502204359,147.0605012178421,1.1650738092139363,nan
26,212992,146.42074370384216,1454.6572747288333,1454.6572747288333,-322.88641813701565,-188.95747805889863,-0.0034869875307776965,104.6131437420845,1.1937210345640779,nan
27,221184,152.28196120262146,1452.4635633349883,1452.4635633349883,-439.91910511924397,-125.77611873801958,-0.001993536377995042,103.38404512405396,1.1609073569998145,nan
28,229376,158.37700247764587,1448.2910802177562,1448.2910802177562,-287.32780457445955,-124.96601311266143,-0.009947572318196762,95.88920658826828,1.0999582652002573,nan
29,237568,166.46075057983398,1427.1712651329374,1427.1712651329374,-287.05581128209815,-125.68207075324676,-0.003506759170704754,131.34982639551163,1.1133554829284549,nan
30,245760,177.4408655166626,1385.0248040912643,1385.0248040912643,-349.49866292178143,-156.04624521300653,-0.001126076702348655,181.06574296951294,1.12459547072649,nan
31,253952,189.17711400985718,1342.4033944548266,1342.4033944548266,-221.08217817636464,-193.3075196259956,-0.0029785704482492292,129.0610785484314,1.1382812578231096,nan
32,262144,201.18767023086548,1302.9824327663139,1302.9824327663139,-260.4533175374235,-229.4660198026371,0.015093900175997987,151.99942064285278,1.135586416348815,nan
33,270336,212.58448219299316,1271.6638449394325,1271.6638449394325,-731.6159558428863,-234.29449229730707,-0.005545652416913072,128.46210354566574,1.1452579451724887,nan
34,278528,223.78261804580688,1244.6364352703529,1244.6364352703529,-241.21569681541564,-234.29449229730707,-0.0015404805635625962,137.5315745472908,1.1774028008803725,nan
35,286720,235.49889707565308,1217.5003941011764,1217.5003941011764,-157.1880205472069,-256.4799957622324,-0.0006601174427487422,114.92510920763016,1.1833596900105476,nan
36,294912,245.89487481117249,1199.34179281479,1199.34179281479,-195.79221779063116,-256.4799957622324,-0.002253785860375501,122.62131649255753,1.185423206537962,nan
37,303104,259.4821767807007,1168.1110578017308,1168.1110578017308,-76.29948065511488,-256.4799957622324,-0.0003749951320060063,103.73596793413162,1.15464720223099,nan
38,311296,270.37696146965027,1151.3406996954616,1151.3406996954616,-81.26578235577472,-258.8594555992713,-0.0001548671571072191,107.32581752538681,1.1404853388667107,nan
39,319488,282.22962951660156,1132.01438327795,1132.01438327795,6.723383983143847,-258.8594555992713,-0.0032994883913488593,103.26485925912857,1.155615390278399,nan
40,327680,295.6021888256073,1108.5168256088837,1108.5168256088837,-22.51563135679045,-288.4080152932562,-0.003358395926625235,86.21718657016754,1.2111845640465617,nan
41,335872,305.65726947784424,1098.8516666846226,1098.8516666846226,-67.53222265583214,-253.5821322298688,0.00017653466420597397,105.8617759346962,1.1538069685921073,nan
42,344064,315.81292629241943,1089.4550898826167,1089.4550898826167,-17.658927520401665,-228.7262638697998,0.00304773925927293,87.84497573971748,1.1565310591831803,nan
43,352256,326.780321598053,1077.9596466438475,1077.9596466438475,-43.27014825011081,-220.6208996169594,-0.0009179560183838475,96.70551079511642,1.1532721696421504,nan
44,360448,337.7135798931122,1067.3186435502041,1067.3186435502041,-13.571234991491224,-206.08500768898534,-8.480313772452064e-05,105.71990525722504,1.1243771417066455,nan
45,368640,350.0613512992859,1053.0725503736921,1053.0725503736921,-16.392429812395683,-206.08500768898534,-0.0033949263706745114,130.0714465379715,1.068832534365356,nan
