iteration,avg_return,policy_loss,value_loss,entropy
1,0.0,0.0,0,1.3849818408489227
2,0.00390625,-16.663803776105244,0,1.3834212223688762
3,0.0,0.0,0,1.377046063542366
4,0.0,0.0,0,1.3744760602712631
5,0.0,0.0,0,1.373100146651268
6,0.0,0.0,0,1.374831110239029
7,0.0,0.0,0,1.375954141219457
8,0.001953125,-0.7839674002801379,0,1.3749511986970901
9,0.0,0.0,0,1.3748164226611455
10,0.0,0.0,0,1.3742757886648178
11,0.001953125,-0.2063440695249786,0,1.3748605797688167
12,0.001953125,-109601.19766971345,0,1.3698159505923588
13,0.0,0.0,0,1.3497204681237538
14,0.001953125,-20.869710336594533,0,1.3509143342574437
15,0.001953125,-0.40246459112192196,0,1.3514362275600433
16,0.001953125,-0.7795331384210537,0,1.345947265625
17,0.00390625,-7.090205670644839,0,1.348105291525523
18,0.001953125,-0.20578103108952442,0,1.350935568412145
19,0.0,0.0,0,1.3521300156911213
20,0.001953125,-0.8025884466866652,0,1.3514882971843083
21,0.001953125,-1065.807890176773,0,1.351163387298584
22,0.00390625,-3.1800156456107893,0,1.3542181501785915
23,0.0,0.0,0,1.3572247177362442
24,0.00390625,-0.8742679980738709,0,1.357993150750796
25,0.001953125,-0.39591778876880807,0,1.357005367676417
26,0.001953125,-10.943327486515045,0,1.3527583827575047
27,0.001953125,-21.13441688319047,0,1.3532062570254009
28,0.0,0.0,0,1.3537464638551076
29,0.001953125,-10.923420916466663,0,1.3566686709721882
30,0.001953125,-1095.2970047340884,0,1.3531719197829564
31,0.00390625,-21.9560559540987,0,1.3575925429662068
32,0.001953125,-40.94641924649477,0,1.3579754084348679
33,0.0,0.0,0,1.3578847696383793
34,0.001953125,-0.7769284496704737,0,1.3502855549256008
35,0.0,0.0,0,1.355083281795184
36,0.005859375,-13.218591606865326,0,1.3542189697424571
37,0.00390625,-10.783391347737052,0,1.3513942112525303
38,0.0,0.0,0,1.3568804959456127
39,0.00390625,-150.04900658378997,0,1.3558537910381954
40,0.001953125,-2.878060820978135,0,1.3579392731189728
41,0.00390625,-12.257297769188881,0,1.3625861555337906
42,0.00390625,-15373.265223532915,0,1.3504724750916164
43,0.0,0.0,0,1.3553822288910549
44,0.001953125,-0.10967610900600751,0,1.3564631293217342
45,0.001953125,-0.40969906530032557,0,1.3544136037429173
46,0.0,0.0,0,1.3565500974655151
47,0.00390625,-3.6611451640104256,0,1.353587990005811
48,0.001953125,-0.207071536531051,0,1.3554595212141674
49,0.00390625,-40651408.877441406,0,1.372914582490921
50,0.0,0.0,0,1.3816177795330684
51,0.001953125,-2100.752276778221,0,1.381358916560809
52,0.00390625,-303.4972855250041,0,1.3813318858544033
53,0.001953125,-78.41844381888707,0,1.3800261467695236
54,0.0,0.0,0,1.3810658156871796
55,0.0,0.0,0,1.3821710248788197
