iter,env_steps,elapsed_time_s,steps_per_s,computation_speed_sps,avg_return,cvar,policy_loss,value_loss,entropy,avg_loss
1,8192,5.835789203643799,1403.7518687078366,1403.7518687078366,-180.1867364084816,nan,-0.0019221348775317892,1424.071786403656,1.3839063392952085,nan
2,16384,12.37682294845581,1323.7645935659234,1323.7645935659234,-155.47545648016768,nan,0.0007097676425473765,912.8335599899292,1.3773795450106263,nan
3,24576,18.620651721954346,1319.8249109092196,1319.8249109092196,-163.24484108915416,nan,-0.0009722438553581014,409.6269859075546,1.3706235382705927,nan
4,32768,24.13840937614441,1357.5045268883405,1357.5045268883405,-140.54893363010422,nan,-0.0029853159467165824,382.7653077840805,1.366089666262269,nan
5,40960,29.887128353118896,1370.489647451378,1370.489647451378,-181.64276429319517,nan,0.00019848192096105777,501.4207372665405,1.3611795995384455,nan
6,49152,36.13229489326477,1360.3342977576042,1360.3342977576042,-160.9983699634129,nan,-0.0013072300025669392,519.2651154994965,1.358882999047637,nan
7,57344,41.92587494850159,1367.7472460726653,1367.7472460726653,-170.50935034598984,nan,-0.002436891445540823,485.30478143692017,1.3505131211131811,nan
8,65536,48.39184927940369,1354.2776516270299,1354.2776516270299,-126.52094314784412,nan,-0.006188755924085854,284.9879629611969,1.3509790115058422,nan
9,73728,53.987547159194946,1365.6482629706384,1365.6482629706384,-135.57638431000055,nan,-0.0008689821625011973,370.3312578201294,1.3233151426538825,nan
10,81920,59.370502948760986,1379.809769688158,1379.809769688158,-138.49137299386075,nan,-0.003285833226982504,361.2297612428665,1.295148653909564,nan
11,90112,65.04561138153076,1385.3663311955072,1385.3663311955072,-146.24673277381825,nan,-0.003028975916095078,330.8663341999054,1.2532728873193264,nan
12,98304,71.12045502662659,1382.2183781472747,1382.2183781472747,-145.45504990181013,nan,-0.0019055608463531826,388.2138876914978,1.2538715777918696,nan
13,106496,78.10118055343628,1363.564535713211,1363.564535713211,-134.34287631272713,nan,0.00015475636610062793,333.4062638282776,1.2461324883624911,nan
14,114688,84.24065637588501,1361.432886850475,1361.432886850475,-132.4210503134552,nan,0.000378515829652315,291.03185856342316,1.2301970766857266,nan
15,122880,91.51703977584839,1342.7007724568948,1342.7007724568948,-131.02133048521426,nan,-0.0033433843309467193,288.6599724292755,1.211120331659913,nan
16,131072,98.77637362480164,1326.956995788002,1326.956995788002,-116.77228232279388,nan,-0.0031242032382579055,272.3856155872345,1.174937104806304,nan
17,139264,105.79027938842773,1316.4158446795245,1316.4158446795245,-99.05779402825532,nan,-0.0027879368171852548,192.3767972588539,1.1565624671056867,nan
18,147456,113.0102527141571,1304.801966711537,1304.801966711537,-90.08885755650977,nan,-0.003964885378081817,174.85243117809296,1.1410307371988893,nan
19,155648,119.59134316444397,1301.4988868046776,1301.4988868046776,-73.15714943916164,nan,-0.0035653204249683768,182.9966640472412,1.145527819171548,nan
20,163840,126.19971084594727,1298.2597099608292,1298.2597099608292,-96.56293243246594,nan,-0.00042268857214367017,129.56891191005707,1.1329930061474442,nan
21,172032,132.30646347999573,1300.253936770146,1300.253936770146,-75.48160870482492,nan,-0.0008184798589354614,157.81238847970963,1.12879837770015,nan
22,180224,141.12261629104614,1277.0738293875772,1277.0738293875772,-76.98302400373439,nan,-0.0026815144301508553,104.93132132291794,1.156033966690302,nan
23,188416,153.37940621376038,1228.4308868519815,1228.4308868519815,-82.51681258208411,nan,0.0004383926498121582,160.8425520658493,1.1281705293804407,nan
24,196608,162.62234020233154,1208.985184663953,1208.985184663953,-97.81986205307051,nan,-0.0056364726551692,159.08319300413132,1.1211782833561301,nan
25,204800,170.42751479148865,1201.6838962333327,1201.6838962333327,-43.59919241031344,nan,-0.005605247089988552,132.64063185453415,1.0805118642747402,nan
26,212992,178.97135376930237,1190.0898971494116,1190.0898971494116,-63.153800711400315,nan,0.0004342459869803861,181.81323498487473,1.0573703367263079,nan
27,221184,187.70504760742188,1178.3593612389056,1178.3593612389056,-69.74972361571163,nan,-0.002405555969744455,140.11158955097198,1.0708509888499975,nan
28,229376,196.03981685638428,1170.0480222751753,1170.0480222751753,-50.96095197301462,nan,-0.000421296434069518,186.03114557266235,1.049313654191792,nan
