timesteps,sim_time_minutes,avg_reward,avg_triage_wait,avg_registration_wait,avg_exam_wait,avg_trauma_wait,avg_non_trauma_treat_wait,avg_trauma_treat_wait,avg_fatigue,avg_throughput
5000,11520.0,7.974467807128913,nan,nan,nan,0.0,nan,nan,12.7879344875927,436.4583333333333
10000,23040.0,7.669193275624878,11.680500456984243,14.709304049205349,nan,0.0,nan,nan,13.268654115400247,479.984375
15000,34560.0,8.36169193038281,9.291093678994098,13.076939936204083,15.523624796193209,0.0,27.759225830703873,nan,13.455539036588162,530.7760416666666
20000,5760.0,5.801961516519313,25.595124353316276,32.2490619105716,15.457055162214465,0.0,17.671148213335375,nan,12.916618205304252,351.0833333333333
25000,17280.0,7.591284234360372,nan,nan,nan,0.0,nan,nan,12.853173244331522,457.59375
30000,28800.0,7.987830065498791,10.847023747377634,37.895681058576436,13.030723877260522,0.0,25.153230071210814,nan,13.087413174911452,503.59375
35000,0.0,5.419705676817326,27.237082143656167,35.703275284360636,38.06600789944223,0.0,31.019108070982554,nan,12.688196303791239,409.4270833333333
40000,11520.0,5.3171867168450895,17.9627774409302,18.69974438884859,nan,0.0,nan,nan,12.633070578198298,280.3489583333333
45000,23040.0,5.148743521395331,29.74210257175029,27.345895398562902,nan,0.0,nan,nan,12.427193648585154,300.9947916666667
50000,34560.0,5.043021208171397,50.7867119592564,nan,nan,0.0,nan,nan,12.039369572059712,322.375
55000,5760.0,9.661667708812788,31.926125187177874,30.329586710597322,24.032872849486314,0.0,18.91103710052354,nan,13.286037128939093,598.0052083333334
60000,17280.0,5.977376310175937,22.06579815917252,20.55446731871012,nan,0.0,nan,nan,12.407243659444562,314.984375
65000,28800.0,11.00110388374145,22.089131962666794,17.987936653626804,27.395034194499573,0.0,16.75998228167934,nan,13.665990517395807,650.4791666666666
70000,0.0,4.806180179592478,36.80483276998766,36.94329446280185,19.117643847027203,0.0,18.01911003064473,nan,12.331657255306533,365.1666666666667
75000,11520.0,2.689583315937059,24.648788546846205,nan,nan,0.0,nan,nan,12.034630086958133,236.08854166666666
80000,23040.0,7.393444830635482,25.724326260165345,24.56355889681525,17.824674134354073,0.0,2.7005279330472582,nan,12.723094038229606,433.2239583333333
85000,34560.0,9.595132651389884,20.47065525601731,nan,nan,0.0,nan,nan,13.164882846642,543.9375
90000,5760.0,5.870270931479247,nan,nan,nan,0.0,nan,nan,12.653807559705806,351.3385416666667
95000,17280.0,12.058465557846164,17.535491600699867,2.106247119211941,36.41071844520795,0.0,2.599514411051237,nan,13.804366626035206,605.421875
100000,28800.0,7.589858297148356,12.557047318770293,18.767968904899394,10.654448755773211,0.0,nan,nan,13.18379152301909,435.03125
105000,0.0,4.490965102654178,31.401904364334303,9.544574820466913,31.780247388390404,0.0,5.525396489444389,nan,12.194473425837167,290.0208333333333
110000,11520.0,6.016672632853371,28.026316889499288,nan,nan,0.0,nan,nan,12.259221208333594,280.5364583333333
115000,23040.0,7.464461226636963,26.859793222903505,22.189831354168376,nan,0.0,nan,nan,12.981206124229066,447.5625
120000,34560.0,6.686023306056511,26.186207535720882,nan,nan,0.0,nan,nan,12.43617620268796,427.828125
125000,5760.0,10.256371640459145,13.840124586966864,19.205114071406808,44.452803131388265,0.0,16.225208997900623,nan,13.310017321903429,639.21875
130000,17280.0,5.234633263535037,nan,nan,nan,0.0,nan,nan,12.63802057275173,283.6510416666667
135000,28800.0,2.715896339434409,36.64019905603207,14.252028195568103,42.10366197238403,0.0,25.859057109960588,nan,11.865469211361292,252.89583333333334
140000,0.0,3.9236608794656207,37.5789698601929,nan,nan,0.0,nan,nan,12.289224361516409,311.515625
145000,11520.0,5.528869448672704,nan,nan,nan,0.0,nan,nan,12.630751297051654,280.46875
150000,23040.0,4.7162987338489515,26.093778211845287,nan,nan,0.0,nan,nan,12.748403480115336,301.6927083333333
155000,34560.0,5.6000180661336,19.377610633442394,23.35793221538385,27.592593036252918,0.0,15.333255533844778,nan,12.794081983448365,323.796875
160000,5760.0,3.7717669029569625,23.388734168423834,nan,nan,0.0,nan,nan,12.376011174311573,305.8541666666667
165000,17280.0,2.1767039817678735,23.4462543638448,14.586714790703462,51.18375610160748,0.0,49.566395406367725,nan,12.553989898203477,247.88541666666666
170000,28800.0,6.016142314971785,21.30484549391205,15.734866918652648,30.060393164942212,0.0,5.480385426242278,nan,12.648329199282017,312.5364583333333
175000,0.0,6.736290577233521,20.773677662971295,15.785354217653975,41.596496693586566,0.0,nan,nan,12.67835664691213,436.09375
180000,11520.0,5.814201266647445,31.918991087199146,12.872747285859925,44.76161715473774,0.0,8.61354315354343,nan,12.54057237893903,280.7239583333333
185000,23040.0,5.9067485395741715,11.347582428674762,nan,nan,0.0,nan,nan,12.58027601956753,301.84375
190000,34560.0,4.38694777410313,18.700673200363145,3.1162060332755437,25.222901404111123,0.0,14.946126703914219,nan,12.989830993744137,279.6770833333333
195000,5760.0,7.0766123322727665,22.006098107498065,nan,nan,0.0,nan,nan,13.041463149032145,456.4791666666667
200000,17280.0,9.006177085272109,19.709408941814033,19.115828076222044,28.489582732953597,0.0,12.84497166204448,nan,13.645702481622747,459.5104166666667
5000,11520.0,9.744422078251892,16.70036877476195,nan,nan,0.0,nan,nan,13.443677064201344,437.8385416666667
10000,23040.0,9.144055268950444,28.172868983716373,18.2545437893727,25.210865557236108,0.0,11.699879180334529,nan,13.51183334294184,481.1510416666667
