iter,env_steps,elapsed_time_s,steps_per_s,computation_speed_sps,avg_return,cvar,policy_loss,value_loss,entropy,avg_loss
1,80,0.8651511669158936,92.46938923423687,92.46938923423687,-121.80706022892505,nan,nan,nan,nan,2.5137986958026888
2,189,0.9664139747619629,195.5683640093807,195.5683640093807,-246.5901143030559,nan,nan,nan,nan,2.167908630200795
3,289,1.078362226486206,267.99900154300957,267.99900154300957,-423.00769485715466,nan,nan,nan,nan,2.134861083030701
4,402,1.2360777854919434,325.222251154695,325.222251154695,-243.0682507334231,nan,nan,nan,nan,1.9515420241015298
5,492,1.3303062915802002,369.83964002423784,369.83964002423784,-430.2711688763724,nan,nan,nan,nan,1.4861247404055162
6,562,1.4251585006713867,394.3421028154019,394.3421028154019,-108.20552716323499,nan,nan,nan,nan,2.029234849744373
7,643,1.5096096992492676,425.93790985826695,425.93790985826695,-157.64480391995755,nan,nan,nan,nan,1.938126340508461
8,739,1.6048119068145752,460.49010283507715,460.49010283507715,-141.00694582540604,nan,nan,nan,nan,1.6480970854560535
9,872,1.7383873462677002,501.6143277113556,501.6143277113556,-119.26404493916253,nan,nan,nan,nan,1.49959487806667
10,964,1.8532094955444336,520.1786426832425,520.1786426832425,-114.70491004868465,nan,nan,nan,nan,2.226173951573994
11,1057,1.9650533199310303,537.8988902128614,537.8988902128614,-95.28035787663984,nan,nan,nan,nan,2.1137624544401965
12,1150,2.078951597213745,553.1634317707321,553.1634317707321,-181.9464880611535,nan,nan,nan,nan,2.2329603666844577
13,1228,2.174455404281616,564.7391055167211,564.7391055167211,-172.7688950149734,nan,nan,nan,nan,1.8913651893013401
14,1337,2.3142428398132324,577.7267523523593,577.7267523523593,-276.77011969322757,nan,nan,nan,nan,2.0488226264715195
15,1413,2.3974151611328125,589.3847769496617,589.3847769496617,-269.83112702019105,nan,nan,nan,nan,1.7005799020591534
16,1500,2.4769179821014404,605.5913077619897,605.5913077619897,-110.93133743938692,nan,nan,nan,nan,1.8501938042186556
17,1578,2.548050880432129,619.2968955676364,619.2968955676364,-178.12550366607434,nan,nan,nan,nan,1.3762776598334312
18,1687,2.653637170791626,635.7312214980539,635.7312214980539,-105.28422983854362,nan,nan,nan,nan,1.501343963322816
19,1814,2.791926860809326,649.7304873789409,649.7304873789409,-75.63984763665299,nan,nan,nan,nan,1.3732741689309478
20,1935,2.9338765144348145,659.536960904696,659.536960904696,-177.54375337047694,nan,nan,nan,nan,1.9909666468699774
21,2020,3.0318751335144043,666.2543512003124,666.2543512003124,35.68945677501125,nan,nan,nan,nan,1.5902289237294878
22,2110,3.129389524459839,674.2529121120533,674.2529121120533,-332.8239226547339,nan,nan,nan,nan,2.103875183540842
23,2223,3.271177053451538,679.5718983337914,679.5718983337914,-198.38245450752729,nan,nan,nan,nan,1.3705729767680168
24,2320,3.3709068298339844,688.2421013440644,688.2421013440644,-133.28368396123602,nan,nan,nan,nan,1.60622563585639
25,2416,3.4912948608398438,692.0068617231666,692.0068617231666,-99.2526604112118,nan,nan,nan,nan,1.2296621439357598
