episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
368,153869,252.83,608.59,188.27,162.78,1.3731
369,154140,253.27,608.60,239.11,169.74,1.1846
370,154464,253.81,608.59,245.65,169.50,1.2680
371,155396,255.30,608.68,238.47,167.74,1.2726
372,155647,255.75,608.59,263.71,174.48,1.3231
373,156647,257.39,608.61,164.71,182.79,1.4509
374,157127,258.14,608.69,240.57,193.55,1.2267
375,157456,258.67,608.72,228.58,192.40,1.3754
376,158009,259.60,608.67,265.07,192.72,1.3589
377,158837,260.91,608.77,199.77,191.37,1.3508
378,159095,261.33,608.80,275.23,195.48,1.1626
379,159289,261.66,608.77,253.08,195.35,1.4012
380,159708,262.33,608.79,241.72,207.61,1.2736
381,160236,263.20,608.81,252.72,207.10,1.2940
382,161133,264.67,608.80,288.57,210.88,1.3635
383,161551,265.33,608.87,243.28,217.22,1.2416
384,161924,265.94,608.87,273.72,229.30,1.2842
385,162332,266.59,608.91,227.40,228.78,1.3003
386,162611,267.04,608.94,322.39,244.35,1.2521
387,162873,267.46,608.96,266.60,245.93,1.3293
388,163175,267.93,609.02,264.35,249.74,1.2101
389,163744,268.85,609.06,278.94,251.73,1.2853
390,164317,269.77,609.11,229.47,250.92,1.3944
391,164921,270.73,609.17,236.82,250.84,1.2668
392,165216,271.22,609.16,223.38,248.82,1.5209
393,166216,272.87,609.14,-61.01,237.53,1.3332
394,166492,273.33,609.11,275.65,239.29,1.1500
395,166993,274.12,609.19,207.47,238.23,1.1723
396,167993,275.71,609.32,113.95,230.68,1.2164
397,168718,276.92,609.26,244.48,232.91,1.3530
398,169157,277.62,609.31,269.46,232.62,1.4123
399,169284,277.81,609.35,5.79,220.26,1.5984
400,169637,278.39,609.36,280.72,222.21,1.2340
401,170026,279.01,609.39,248.22,221.98,1.3119
402,170239,279.35,609.42,255.50,220.33,1.3494
403,170934,280.47,609.45,270.20,221.67,1.5594
404,171516,281.40,609.51,255.46,220.76,1.3222
405,171759,281.81,609.48,227.66,220.78,1.3254
406,171868,281.98,609.50,-40.41,202.64,1.3551
407,172868,283.59,609.57,141.62,196.39,1.2274
408,173150,284.04,609.60,267.30,196.53,1.3536
409,173471,284.58,609.57,303.04,197.74,1.1902
410,174343,286.01,609.57,259.87,199.26,1.2876
411,174818,286.78,609.59,259.92,200.41,1.2409
412,175242,287.46,609.63,244.85,201.49,1.3958
413,175552,287.93,609.69,220.90,215.58,1.2652
414,175917,288.52,609.73,203.30,211.97,1.2961
415,176917,290.14,609.77,23.73,202.78,1.3569
416,177917,291.76,609.81,68.11,200.49,1.3052
417,178232,292.28,609.80,-138.95,181.31,1.2292
418,178929,293.41,609.83,269.36,181.31,1.3226
