timesteps,sim_time_minutes,avg_reward,avg_triage_wait,avg_registration_wait,avg_exam_wait,avg_trauma_wait,avg_non_trauma_treat_wait,avg_trauma_treat_wait,avg_fatigue,avg_throughput
36500,24960.0,-50.20201542782313,0.0,0.0,0,29.0,0,0.0
37000,15360.0,-51.27356318490122,0.0,0.0,0,31.0,2,0.0
37500,5760.0,-49.858960934780065,0.0,0.0,0,31.0,0,0.0
38000,36480.0,-45.7069536001981,0.0,0.0,0,32.0,0,0.0
38500,26880.0,-53.10232415776383,0.0,0.0,0,32.0,0,0.0
39000,17280.0,-46.49865745256858,0.0,0.0,0,31.0,0,0.0
39500,7680.0,-44.899582728052465,0.0,0.0,0,32.0,0,0.0
40000,38400.0,-48.236915435823576,0.0,0.0,0,32.0,0,0.0
40500,28800.0,-61.15734968855834,0.0,0.0,0,31.0,1,0.0
41000,19200.0,-60.84331436984215,0.0,0.0,0,30.0,8,0.0
41500,9600.0,-56.978157902398316,0.0,0.0,0,32.0,1,0.0
42000,0.0,-53.073363130532016,0.0,0.0,0,6.550000000000001,15,0.0
42500,30720.0,-51.04161018982417,0.0,0.0,0,32.0,0,0.0
43000,21120.0,-52.822729469144285,0.0,0.0,0,32.0,0,0.0
43500,11520.0,-53.22972954711311,0.0,0.0,0,31.0,6,0.0
44000,1920.0,-52.27068111536085,0.0,0.0,0,29.0,1,0.0
44500,32640.0,-47.371622350320024,0.0,0.0,0,31.0,0,0.0
45000,23040.0,-46.05250152432731,0.0,0.0,0,29.0,0,0.0
45500,13440.0,-50.1372289712464,0.0,0.0,0,29.0,0,0.0
46000,3840.0,-51.886008455227355,0.0,0.0,0,32.0,1,0.0
46500,34560.0,-47.729461784447814,0.0,0.0,0,32.0,0,0.0
47000,24960.0,-55.220960653247204,0.0,0.0,0,31.0,1,0.0
47500,15360.0,-55.486129687922215,0.0,0.0,0,31.0,4,0.0
48000,5760.0,-52.94946636191893,0.0,0.0,0,31.0,2,0.0
48500,36480.0,-57.36103917651354,0.0,0.0,0,30.0,3,0.0
49000,26880.0,-53.11404116408203,0.0,0.0,0,32.0,2,0.0
49500,17280.0,-46.44776874379829,0.0,0.0,0,32.0,0,0.0
50000,7680.0,-47.78420149769501,0.0,0.0,0,32.0,0,0.0
500,30720.0,-1741.3161751642137,0.0,0.0,0,32.0,0,0.0
